index,forgetting_events,index_info
211,5.0,"(2, 11)"
212,16.0,"(2, 12)"
213,0.0,"(2, 13)"
214,8.0,"(2, 14)"
215,9.223372036854776e+18,"(2, 15)"
216,12.0,"(2, 16)"
217,18.0,"(2, 17)"
218,17.0,"(2, 18)"
219,4.0,"(2, 19)"
220,20.0,"(2, 20)"
221,3.0,"(2, 21)"
222,1.0,"(2, 22)"
223,18.0,"(2, 23)"
224,17.0,"(2, 24)"
225,10.0,"(2, 25)"
226,4.0,"(2, 26)"
227,19.0,"(2, 27)"
228,2.0,"(2, 28)"
229,13.0,"(2, 29)"
230,4.0,"(2, 30)"
231,17.0,"(2, 31)"
232,27.0,"(2, 32)"
233,10.0,"(2, 33)"
234,16.0,"(2, 34)"
235,23.0,"(2, 35)"
236,13.0,"(2, 36)"
237,5.0,"(2, 37)"
238,16.0,"(2, 38)"
239,12.0,"(2, 39)"
240,27.0,"(2, 40)"
241,14.0,"(2, 41)"
242,7.0,"(2, 42)"
243,10.0,"(2, 43)"
244,3.0,"(2, 44)"
245,22.0,"(2, 45)"
246,21.0,"(2, 46)"
247,9.0,"(2, 47)"
248,9.0,"(2, 48)"
249,7.0,"(2, 49)"
250,16.0,"(2, 50)"
251,16.0,"(2, 51)"
252,0.0,"(2, 52)"
253,12.0,"(2, 53)"
254,22.0,"(2, 54)"
255,5.0,"(2, 55)"
256,1.0,"(2, 56)"
257,8.0,"(2, 57)"
258,21.0,"(2, 58)"
259,6.0,"(2, 59)"
260,24.0,"(2, 60)"
261,8.0,"(2, 61)"
262,19.0,"(2, 62)"
263,23.0,"(2, 63)"
264,1.0,"(2, 64)"
265,18.0,"(2, 65)"
266,21.0,"(2, 66)"
267,23.0,"(2, 67)"
268,23.0,"(2, 68)"
269,4.0,"(2, 69)"
270,7.0,"(2, 70)"
271,16.0,"(2, 71)"
272,10.0,"(2, 72)"
273,19.0,"(2, 73)"
274,19.0,"(2, 74)"
275,2.0,"(2, 75)"
276,2.0,"(2, 76)"
277,28.0,"(2, 77)"
278,9.0,"(2, 78)"
279,3.0,"(2, 79)"
280,12.0,"(2, 80)"
281,7.0,"(2, 81)"
282,16.0,"(2, 82)"
283,12.0,"(2, 83)"
284,27.0,"(2, 84)"
285,25.0,"(2, 85)"
286,21.0,"(2, 86)"
287,16.0,"(2, 87)"
288,17.0,"(2, 88)"
289,3.0,"(2, 89)"
290,1.0,"(2, 90)"
291,19.0,"(2, 91)"
292,24.0,"(2, 92)"
