"","forgetting_events","cnt","percentage"
"1",0,10010,0.2002
"2",1,6200,0.124
"3",2,4526,0.09052
"4",3,3581,0.07162
"5",4,3134,0.06268
"6",5,2800,0.056
"7",6,2622,0.05244
"8",7,2584,0.05168
"9",8,2698,0.05396
"10",9,2853,0.05706
"11",10,2687,0.05374
"12",11,2360,0.0472
"13",12,1766,0.03532
"14",13,1134,0.02268
"15",14,504,0.01008
"16",15,188,0.00376
"17",16,55,0.0011
"18",17,15,3e-04
"19",18,2,4e-05
"20",Inf,281,0.00562
